Z,A,E0,ThetaDeg,nu,cross,error,dataSet,Veff,Eeff,Ep,Ep_eff,normalization,normError,system_err,normCross,normCrossError,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),nuel,Ex,R,F2foc,Q2,Q2eff,qv2,qv,W2_O,W2,epsilon,gamma,Sig_R,D_sig_R,Sig_mott,Sig_mott_eff,H,Hcc,Hstar_Sig(nb),Hstar_error(nb),Hstar_Sig(GeV),Hstar_error(GeV),Hcc_Sig(nb),Hcc_error(nb),Hcc_Sig(GeV),Hcc_error(GeV),qvbin,qvcenter,Q2bin,Q2center,Ex_qv_increment,Ex_qv_start,Ex_qv_bin_index,Ex_qvcenter,nu_Ex_qvcenter,epsilon_Ex_qvcenter,W2_qv_increment,W2_qv_start,W2_qv_bin_index,W2_qvcenter,nu_W2_qvcenter,epsilon_W2_qvcenter,Ex_q2_increment,Ex_q2_start,Ex_q2_bin_index,Ex_q2center,nu_Ex_q2center,epsilon_Ex_q2center,W2_q2_increment,W2_q2_start,W2_q2_bin_index,W2_q2center,nu_W2_q2center,epsilon_W2_q2center,RL_qvc_ex,RT_qvc_ex,RL_qvd_ex,RT_qvd_ex,RL_qvc_w2,RT_qvc_w2,RL_qvd_w2,RT_qvd_w2,RL_q2c_ex,RT_q2c_ex,RL_q2d_ex,RT_q2d_ex,RL_q2c_w2,RT_q2c_w2,RL_q2d_w2,RT_q2d_w2,bc_qv_ex,bc_qv_w2,bc_q2_ex,bc_q2_w2
6,12,0.1196,90.0,0.0071,86760.0,9860.0,1,0.0031,0.1227,0.1125,0.11560000000000001,0.95971,0.0062926,0.0,83264.4396,9478.476495281242,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0012661318476041988,0.005833868152395802,2.894010933453939,1.0525112974127808,0.026910000000000007,0.02836824000000001,0.02841865000000001,0.1685783200770491,0.866769699129,0.865311459129,0.33293891453536945,-0.00015142741037841158,-549863722.7693797,-65113706.79429979,0.001862372330793519,0.001815319729119029,188.82822748499112,179.40731652872248,15722676.542199103,1789803.9158621076,40.37884512533157,4.5965593026948905,14938249.670903893,1700508.0327989778,38.36428665857401,4.367230369872393,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.0006,0.0,9,0.005699999999999999,0.00694534538858349,0.3329487480137185,0.002,0.9487945225290001,-42,0.8657945225290001,0.007075360409537157,0.3329342058729659,0.005,0.0,1,0.0075,0.008663006238723313,0.3326931321345843,0.01,0.9481835225290001,-9,0.8631835225290001,0.0047040147163992085,0.333144314472109,0.07046542,2.500089e-06,0.07096861,3.030179e-06,0.06991015,3.038611e-06,0.07098359,3.015785e-06,0.05378036,3.096372e-05,0.07097037,3.028563e-06,0.05821228,9.899431e-08,0.07098359,3.015784e-06,0.9929282228219422,0.9848651552517274,0.7578351376471374,0.8205363921744927
6,12,0.1196,90.0,0.0121,26350.0,5890.0,1,0.0031,0.1227,0.1075,0.1106,0.95971,0.0062926,0.0,25288.3585,5655.123223745157,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0012661318476041988,0.0108338681523958,2.894010933453939,1.0525112974127808,0.025714000000000008,0.027141240000000007,0.027287650000000007,0.16518973939079876,0.877348429129,0.8759211891290001,0.3321388791057478,-4.458568791236691e-05,-567185562.992865,-132105172.66385537,0.0018623723307935188,0.0018153197291190287,189.73736827668756,180.2710989830593,4798146.589827402,1072988.1977537833,12.322559553984178,2.7556392286086377,4558760.178272588,1019455.2784291605,11.707769393330736,2.618156437258567,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.0006,0.0,18,0.011099999999999999,0.012340690911045726,0.33211763806241806,0.002,0.9487945225290001,-37,0.8757945225290001,0.012349702510833227,0.33211585868500254,0.005,0.0,2,0.0125,0.013663006238723314,0.3317453979239198,0.01,0.9481835225290001,-8,0.8731835225290001,0.010032954161528723,0.33247520486208565,0.028664,0.001111043,0.02960822,0.0009106862,0.02861192,0.001118069,0.02928551,0.0009472966,0.02083079,0.002651986,0.02960884,0.0009104477,0.04215735,0.0001517675,0.02928551,0.0009472965,0.9792603914960188,0.9864277039588244,0.8012136785679957,1.3811985285402868
6,12,0.1196,90.0,0.0171,25810.0,4670.0,1,0.0031,0.1227,0.1025,0.1056,0.95971,0.0062926,0.0,24770.1151,4484.787457427769,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0012661318476041988,0.015833868152395802,2.894010933453939,1.0525112974127808,0.024518000000000005,0.02591424000000001,0.02620665000000001,0.16188468117768282,0.887927159129,0.8865309191290001,0.3308445535248522,6.195456966615437e-05,399810945.8830097,75377813.53602411,0.001862372330793519,0.001815319729119029,191.21867692989377,181.67850302408715,4736508.636823183,857575.1239211203,12.16426148358123,2.202417191450064,4500197.431102336,814789.4716466791,11.557369040581966,2.0925354405828345,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.0006,0.0,26,0.015899999999999997,0.017134370687534428,0.33098576914716166,0.002,0.9487945225290001,-32,0.885794522529,0.01759494199251188,0.33085739305041506,0.005,0.0,3,0.0175,0.018663006238723315,0.33038269562848394,0.01,0.9481835225290001,-7,0.8831835225290001,0.015361893606658236,0.33132847513585006,0.02044341,0.00830771,0.02001148,0.008022125,0.02074585,0.008904286,0.02009675,0.008163986,0.02253459,0.01045607,0.02001036,0.008021184,0.01896518,0.005425074,0.02009675,0.008163986,1.0269283198752768,1.0546613789829338,1.1936037443172356,0.8370511558965583
6,12,0.1196,90.0,0.0221,40060.0,4770.0,1,0.0031,0.1227,0.0975,0.10060000000000001,0.95971,0.0062926,0.0,38445.982599999996,4584.751994347597,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0012661318476041988,0.020833868152395803,2.894010933453939,1.0525112974127808,0.023322000000000002,0.02468724000000001,0.02517565000000001,0.15866836483685087,0.8985058891290001,0.897140649129,0.3289941408774745,0.00016794417131412798,228921208.15606895,28402295.612141516,0.0018623723307935197,0.0018153197291190296,193.3591486734333,183.71218356395508,7433882.465449629,886503.7425058769,19.091634172251702,2.276711425411344,7062995.412707822,842274.7999807949,18.13912517536068,2.1631230287103023,"[0.158,0.186]",0.167,"[0.015,0.025]",0.02,0.0006,0.0,34,0.0207,0.02192599870837597,0.32948053782122194,0.002,0.9487945225290001,-26,0.897794522529,0.023851483904759663,0.32876930408369454,0.0025,0.0,8,0.02125,0.022144620183633317,0.32797225293706556,0.01,0.9541835225290001,-6,0.899183522529,0.020690833051787698,0.32864347512520664,0.0324482,0.01377161,0.03313087,0.01337527,0.03937759,0.0146271,0.03377435,0.01347465,0.03577963,0.01241239,0.03313034,0.01337361,0.02965737,0.01121439,0.03377435,0.01347465,0.9987488546630673,1.1351229942306018,1.0211249262717292,0.8605142478117938
6,12,0.1196,145.0,0.0021,17100.0,700.0,1,0.0031,0.1227,0.1175,0.1206,0.95971,0.0062926,0.0,16411.040999999997,680.3599883980329,2.5307274153917776,0.9095760221444957,0.0904239778555042,10.059013590377335,0.0022834842822268275,-0.00018348428222682766,2.894010933453939,1.0525112974127808,0.051129087356786396,0.053838241347223335,0.05384265134722334,0.2320401933873167,0.8331678817722137,0.8304587277817767,0.047349213270093275,-0.00019331286209036896,-84893683.85807791,-3621073.0751726567,0.00010177523574015853,9.92038972658758e-05,489.7433656654492,465.30936710067294,8037198.453413677,333201.7905821586,20.641065197831352,0.8557260248462961,7636211.101173193,316577.8756021099,19.611252865950192,0.8130326267753987,"[0.223,0.270]",0.24,"[0.045,0.070]",0.056,0.0006,0.0,-1,-0.0003,0.002276274358496977,0.04734885012822764,0.018,0.919083522529,-5,0.8380835225290001,0.008132580356012054,0.047301107272776706,0.003,0.0,-1,-0.0015,0.0010049365141732883,0.04735209457828117,0.01,0.918183522529,-9,0.8331835225290001,0.0047040147163991955,0.047335089853409174,0.01234,1.492885e-11,0.01366403,2.993397e-11,0.08653142,5.844266e-07,0.01240717,2.623948e-11,0.004344376,6.055044e-12,0.01365702,2.990983e-11,0.05273106,1.115014e-09,0.01240717,2.623948e-11,0.9030941260596878,6.967719645903742,0.31812506159439324,4.248780493626977
6,12,0.1196,145.0,0.0071,4800.0,340.0,1,0.0031,0.1227,0.1125,0.11560000000000001,0.95971,0.0062926,0.0,4606.608,327.69637510053474,2.5307274153917776,0.9095760221444957,0.0904239778555042,10.059013590377335,0.0022834842822268275,0.004816515717773173,2.894010933453939,1.0525112974127808,0.04895338151181676,0.05160614178888075,0.05165655178888075,0.22728077742933023,0.8447263176171833,0.8420735573401192,0.04730888402737229,-0.00014830841377706246,-31061002.42515346,-2292519.967957373,0.00010177523574015855,9.920389726587581e-05,490.20235705307556,465.7454587500022,2258170.0996195544,160637.5354720309,5.799413380696506,0.41254796209353656,2145506.75624143,152623.09855191133,5.510072333619859,0.3919653528733011,"[0.223,0.270]",0.24,"[0.045,0.070]",0.056,0.0006,0.0,8,0.0050999999999999995,0.007673871995265813,0.04730678627345495,0.018,0.919083522529,-5,0.8380835225290001,0.008132580356012054,0.047301107272776706,0.003,0.0,1,0.0045000000000000005,0.007004936514173289,0.04731341357563806,0.01,0.918183522529,-8,0.8431835225290001,0.010032954161528709,0.04727196023958526,0.08756752,2.662741e-07,0.08927543,1.959225e-07,0.08653142,5.844266e-07,0.08920887,1.873131e-07,0.08676782,9.509142e-08,0.08927377,1.956975e-07,0.07159622,1.231765e-05,0.08920887,1.87313e-07,0.9808344941966822,0.9698750543178042,0.9720113872871713,0.8033860940459228
6,12,0.1196,145.0,0.0121,2390.0,210.0,1,0.0031,0.1227,0.1075,0.1106,0.95971,0.0062926,0.0,2293.7068999999997,202.09945520560063,2.5307274153917776,0.9095760221444957,0.0904239778555042,10.059013590377335,0.0022834842822268275,0.009816515717773172,2.894010933453939,1.0525112974127808,0.04677767566684713,0.04937404223053815,0.04952045223053815,0.22253191283620008,0.8562847534621529,0.8536883868984619,0.04721951735467406,-0.00010330245853707103,-22203797.78451141,-2032865.4610348851,0.00010177523574015852,9.920389726587578e-05,491.2222485064765,466.7144663567689,1126719.8608328197,99275.74880802906,2.8936324319904996,0.2549591397534433,1070506.1918123385,94322.73938727562,2.7492649619091507,0.24223886278481604,"[0.186,0.223]",0.205,"[0.045,0.070]",0.056,0.0006,0.0,16,0.009899999999999999,0.011773620131968698,0.047204088920930275,0.014,0.9346585225290001,-6,0.8576585225290001,0.010243485111882555,0.04724026155557352,0.003,0.0,3,0.0105,0.013004936514173289,0.04721705815436486,0.01,0.918183522529,-7,0.8531835225290001,0.015361893606658223,0.04716356903656284,0.0495412,0.0002875756,0.05231929,0.0002158202,0.06347471,5.542711e-05,0.05166985,0.0002325417,0.04646568,0.0003803359,0.05232449,0.0002156936,0.02766153,0.00227304,0.05166985,0.0002325417,0.9628068236433779,1.1838117192677233,0.9247010429133141,0.9567699167177633
6,12,0.1196,145.0,0.0171,3280.0,260.0,1,0.0031,0.1227,0.1025,0.1056,0.95971,0.0062926,0.0,3147.8487999999998,250.3767648506426,2.5307274153917776,0.9095760221444957,0.0904239778555042,10.059013590377335,0.0022834842822268275,0.014816515717773173,2.894010933453939,1.0525112974127808,0.04460196982187749,0.047141942672195555,0.047434352672195555,0.21779428980621957,0.8678431893071226,0.8653032164568045,0.04707474164103794,-5.830155501709991e-05,-53992535.86077991,-4459572.303410118,0.00010177523574015855,9.920389726587581e-05,492.8827285062415,468.29210262903194,1551520.305469098,123406.38301415034,3.9846013466725743,0.3169312307501532,1474112.733310275,117249.46166136212,3.7858038735235233,0.301119077324124,"[0.186,0.223]",0.205,"[0.045,0.070]",0.056,0.0006,0.0,24,0.0147,0.016567542738135543,0.04705818000096356,0.014,0.9346585225290001,-5,0.8716585225290001,0.01759494199251188,0.047020479637407915,0.003,0.0,4,0.0135,0.016004936514173288,0.047147456167584846,0.01,0.918183522529,-6,0.863183522529,0.020690833051787677,0.047010538481753954,0.02208631,0.005902061,0.02176234,0.005895929,0.02163926,0.007885635,0.02158781,0.00624496,0.02433421,0.003241023,0.02176348,0.005894942,0.02106476,0.0129058,0.02158781,0.00624496,1.00477777239359,1.1999664220765687,0.6954979599609881,1.8019089620043596
6,12,0.1196,145.0,0.0221,7220.0,410.0,1,0.0031,0.1227,0.0975,0.10060000000000001,0.95971,0.0062926,0.0,6929.106199999999,396.095310065324,2.5307274153917776,0.9095760221444957,0.0904239778555042,10.059013590377335,0.0022834842822268275,0.019816515717773174,2.894010933453939,1.0525112974127808,0.04242626397690786,0.04490984311385297,0.04539825311385297,0.2130686582157333,0.8794016251520922,0.8769180460151471,0.04686734528065708,-1.3313448436131427e-05,-520459160.76822495,-30795928.039748076,0.00010177523574015855,9.920389726587581e-05,495.2793390766888,470.5691428625558,3431843.1391281863,196177.8233805298,8.813630569665506,0.5038222293797253,3260623.5653376207,186390.23054931778,8.373905906122467,0.4786858161220601,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.0006,0.0,33,0.0201,0.021958252939535683,0.04683505977782805,0.014,0.9346585225290001,-5,0.8716585225290001,0.01759494199251188,0.047020479637407915,0.005,0.0,3,0.0175,0.019289240367266636,0.04693698075714948,0.008,0.934183522529,-8,0.874183522529,0.018026363329222927,0.046989255349029424,0.02878445,0.01426844,0.02712741,0.01419563,0.02163926,0.007885635,0.02786062,0.0142676,0.02329897,0.01150743,0.02712924,0.01419537,0.02170263,0.008839861,0.02786062,0.0142676,1.0140590779465477,0.5858268267122118,0.8170178160364567,0.6428953839975814
6,12,0.1597,90.0,0.0022,122300.0,5450.0,1,0.0031,0.1628,0.1575,0.1606,0.95971,0.0062926,0.0,117372.533,5286.733319113217,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.002249508450974047,-4.9508450974046925e-05,2.894010933453939,1.0391995950453436,0.05030550000000002,0.05229136000000001,0.05229620000000001,0.22868362424974817,0.834179123729,0.832193263729,0.3333127660887271,-0.0002737739895096017,-428720541.3861405,-19906931.29673248,0.001044525478040715,0.0010246358651296204,331.67464289806543,319.1635605704729,38929492.9688164,1753475.3857141803,99.9783951019105,4.503260678345724,37461035.54545533,1687332.6299147282,96.20711514764218,4.333393411444923,"[0.223,0.270]",0.24,"[0.045,0.070]",0.056,0.0006,0.0,-1,-0.0003,0.002276274358496977,0.33331334266849794,0.018,0.919083522529,-5,0.8380835225290001,0.008132580356012054,0.333078070264426,0.003,0.0,-1,-0.0015,0.0010049365141732883,0.33332932585215846,0.01,0.918183522529,-9,0.8331835225290001,0.0047040147163991955,0.33324554790885264,0.01234,1.492885e-11,0.01514706,4.398613e-11,0.08653142,5.844266e-07,0.01416264,4.003209e-11,0.004344376,6.055044e-12,0.01513974,4.395284e-11,0.05273106,1.115014e-09,0.01416264,4.003209e-11,0.8146809555739927,6.105596688670764,0.2869660792718363,3.722499995477541
