Z,A,E0,ThetaDeg,nu,cross,error,dataSet,ratio,ratio_error,Veff,Eeff,Ep,Ep_eff,normalization,normError,system_err,normCross,normCrossError,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),nuel,Ex,R,F2foc,Q2,Q2eff,qv2,qv,W2_O,W2,epsilon,gamma,Sig_R,D_sig_R,Sig_mott,Sig_mott_eff,H,Hcc,Hstar_Sig(nb),Hstar_error(nb),Hstar_Sig(GeV),Hstar_error(GeV),Hcc_Sig(nb),Hcc_error(nb),Hcc_Sig(GeV),Hcc_error(GeV),qvbin,qvcenter,Q2bin,Q2center,qv_Ex_increment,qv_Ex_start,qv_Ex_bin_index,Ex_qvcenter,qv_W2_increment,qv_W2_start,qv_W2_bin_index,W2_qvcenter,Q2_Ex_increment,Q2_Ex_start,Q2_Ex_bin_index,Ex_q2center,Q2_W2_increment,Q2_W2_start,Q2_W2_bin_index,W2_q2center,nu_Ex_qvcenter,nu_Ex_q2center,epsilon_Ex_qvcenter,epsilon_Ex_q2center,nu_W2_qvcenter,nu_W2_q2center,epsilon_W2_qvcenter,epsilon_W2_q2center,RL_qvc_ex,RT_qvc_ex,RL_qvd_ex,RT_qvd_ex,RL_qvc_w2,RT_qvc_w2,RL_qvd_w2,RT_qvd_w2,RL_q2c_ex,RT_q2c_ex,RL_q2d_ex,RT_q2d_ex,RL_q2c_w2,RT_q2c_w2,RL_q2d_w2,RT_q2d_w2,bc_qv_ex,bc_qv_w2,bc_q2_ex,bc_q2_w2
26,56,0.1503,90.0,0.00362,7822.884165,156.4576833,Altemus:1973,15.26802615,0.145700738,0.0089,0.15919999999999998,0.14667999999999998,0.15557999999999997,1.0,0.0,0.0,7822.884165,156.4576833,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.0031881824072823185,4.433234524286382,1.1219362118521883,0.044092007999999995,0.049536672,0.049549776399999995,0.2225977906449208,0.8430573110490001,0.8376126470490001,0.3332745571724182,-0.0002639868274261531,-29633615.590870157,-592672.3118174032,0.0011792636416784277,0.0011133374707554503,317.2408920579168,282.7619687345579,2481738.750970352,49634.77501940704,6.3735805031672745,0.12747161006334548,2212014.1276777983,44240.28255355597,5.680876003320386,0.11361752006640774,"[0.186,0.223]",0.205,"[0.045,0.070]",0.056,0.0006,0.0,5,0.0032999999999999995,0.014,0.9346585225290001,-7,0.8436585225290001,0.003,0.0,1,0.0045000000000000005,0.01,0.918183522529,-9,0.8331835225290001,0.003702687300751961,0.005036772110179991,0.33326082948362906,0.3332326928023061,0.002834604118147621,0.0047040147163991955,0.33329084279134047,0.33324554790885264,0.0730304,2.212914e-08,0.07258393,1.085717e-08,0.02869541,6.266099e-10,0.03745509,4.266439e-10,0.08676782,9.509142e-08,0.07257308,1.083418e-08,0.05273106,1.115014e-09,0.03745509,4.266439e-10,1.0061098740683025,0.7661658979997326,1.195443874348555,1.4077251154704145
26,56,0.1503,90.0,0.00742,36746.99551,734.9399103,Altemus:1973,2.591994221,0.04830599,0.0089,0.15919999999999998,0.14287999999999998,0.15177999999999997,1.0,0.0,0.0,36746.99551,734.9399103,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.006988182407282319,4.433234524286382,1.1219362118521883,0.042949728,0.048326752,0.048381808400000004,0.21995865156888011,0.8513304658490001,0.845953441849,0.333080358122296,-0.00021241172009880767,-172998907.46568212,-3459978.149784426,0.0011792636416784277,0.0011133374707554503,317.6107980982193,283.0916720068071,11671242.57164278,233424.85146461666,29.973986614535068,0.5994797323722698,10402768.400152532,208055.3680313598,26.71630195896026,0.5343260392519085,"[0.186,0.223]",0.205,"[0.045,0.070]",0.056,0.0006,0.0,11,0.006899999999999999,0.014,0.9346585225290001,-7,0.8436585225290001,0.003,0.0,2,0.0075,0.01,0.918183522529,-8,0.8431835225290001,0.0073023075938820625,0.00803677211017999,0.33305124590329943,0.3330772219068818,0.002834604118147621,0.010032954161528709,0.33329084279134047,0.3329343663137134,0.07785775,8.24221e-06,0.07821021,7.091232e-06,0.02869541,6.266099e-10,0.08978168,4.812641e-07,0.07185492,1.184978e-05,0.07821571,7.077678e-06,0.07159622,1.231765e-05,0.08978168,4.812641e-07,0.9954291783837529,0.3198126079221276,0.9187704036029043,0.7972983562321204
26,56,0.1503,90.0,0.00961,53536.90908,1070.738182,Altemus:1973,1.645089369,0.02228556,0.0089,0.15919999999999998,0.14068999999999998,0.14958999999999997,1.0,0.0,0.0,53536.90908,1070.738182,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.009178182407282319,4.433234524286382,1.1219362118521883,0.042291414,0.047629456,0.0477218081,0.21845321718848637,0.856098415589,0.850760373589,0.3329030073067796,-0.00018268389242024675,-293057632.8910459,-5861152.660010493,0.0011792636416784275,0.00111333747075545,317.949036105348,283.39314904583614,17022008.638045654,340440.1728880927,43.7157788416581,0.8743155771597836,15171993.254361818,303439.86520059366,38.96458495575996,0.7792916994063225,"[0.186,0.223]",0.205,"[0.045,0.070]",0.056,0.0006,0.0,15,0.0093,0.014,0.9346585225290001,-6,0.8576585225290001,0.003,0.0,3,0.0105,0.01,0.918183522529,-7,0.8531835225290001,0.009701916483635387,0.01103677211017999,0.332835230294086,0.332850658911081,0.010243485111882555,0.015361893606658223,0.33277802160257197,0.33239949740637337,0.05489716,0.0001573227,0.0576659,0.0001150018,0.06347471,5.542711e-05,0.07340879,1.436344e-05,0.04646568,0.0003803359,0.05767642,0.0001148161,0.02766153,0.00227304,0.07340879,1.436344e-05,0.9530393047790625,0.8652319920064208,0.8129906081844959,0.4228227603994773
26,56,0.1503,90.0,0.01869,111708.1714,2234.163428,Altemus:1973,0.85591769,0.013120795,0.0089,0.15919999999999998,0.13161,0.14051,1.0,0.0,0.0,111708.1714,2234.163428,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.018258182407282317,4.433234524286382,1.1219362118521883,0.039561966000000004,0.044738384,0.045087700099999996,0.21233864485768952,0.8758669012690001,0.8706904832690001,0.3316072131938614,-5.954725668168844e-05,-1875958316.5541818,-37519166.33108363,0.0011792636416784277,0.0011133374707554503,320.43268244035414,285.60686343420224,35794949.01220885,715898.9802441769,91.92828578224771,1.8385657156449542,31904620.453524258,638092.409070485,81.93717682976347,1.6387435365952692,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.0006,0.0,30,0.018299999999999997,0.014,0.9346585225290001,-5,0.8716585225290001,0.005,0.0,3,0.0175,0.008,0.934183522529,-8,0.874183522529,0.01869946704982084,0.017883408650128566,0.3314791852570663,0.33156599646938223,0.01759494199251188,0.018026363329222927,0.33169227816568897,0.33153778121053945,0.02338971,0.01242739,0.02286738,0.01243328,0.02163926,0.007885635,0.02157023,0.009709258,0.02269657,0.01128531,0.022856,0.01243363,0.02170263,0.008839861,0.02157023,0.009709257,1.0123384192877636,0.9256375368211015,0.9543944661848676,0.9672655758727353
26,56,0.1503,90.0,0.02479,133527.7029,2670.554058,Altemus:1973,0.681162021,0.011109305,0.0089,0.15919999999999998,0.12550999999999998,0.13440999999999997,1.0,0.0,0.0,133527.7029,2670.554058,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.024358182407282318,4.433234524286382,1.1219362118521883,0.037728305999999996,0.042796143999999994,0.0434106881,0.2083523172417336,0.889147491869,0.884079653869,0.33017252555029214,2.2889633032452497e-05,5833544937.600656,116670898.75201312,0.001179263641678428,0.0011133374707554505,323.2081087337484,288.08064604686285,43157236.317870855,863144.7263574172,110.83604986971909,2.2167209973943818,38466746.916585565,769334.9383317113,98.78997459823624,1.975799491964725,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.0006,0.0,40,0.0243,0.014,0.9346585225290001,-4,0.885658522529,0.005,0.0,4,0.0225,0.008,0.934183522529,-7,0.882183522529,0.024696972302017173,0.022883408650128563,0.330092375555766,0.33044933460962805,0.024890289649787234,0.022289514885326538,0.3300411877794322,0.33059587565369974,0.03447983,0.01227658,0.03402595,0.01211392,0.0331044,0.01246858,0.03235486,0.01238243,0.03259953,0.01278024,0.03399793,0.01210508,0.02787349,0.01343413,0.03235486,0.01238243,1.0133413024152012,1.01713043131757,0.9931833892732647,0.9441454480521594
26,56,0.1503,90.0,0.03092,138744.0039,2774.880078,Altemus:1973,0.701788887,0.011414547,0.0089,0.15919999999999998,0.11937999999999999,0.12827999999999998,1.0,0.0,0.0,138744.0039,2774.880078,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.030488182407282318,4.433234524286382,1.1219362118521883,0.035885628,0.040844351999999993,0.041800398399999994,0.2044514573193353,0.9024933968490001,0.897534672849,0.3282116851790048,0.00010529553976476927,1317662687.4220386,26353253.748440772,0.0011792636416784275,0.00111333747075545,327.0454543920449,291.50093466733756,45375595.79964715,907511.9159929431,116.53322195785182,2.3306644391570366,40444006.81633873,808880.1363267746,103.8679567757857,2.0773591355157137,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.0006,0.0,50,0.030299999999999997,0.014,0.9346585225290001,-3,0.899658522529,0.005,0.0,6,0.0325,0.008,0.934183522529,-5,0.898183522529,0.03069378839793302,0.032883408650128565,0.3283140899991754,0.3274323552609059,0.03213079354627424,0.030815817997533763,0.3278291409276415,0.328139892573651,0.02887734,0.01148632,0.02876734,0.01149591,0.02887983,0.01148601,0.03003247,0.01146224,0.02794493,0.01185834,0.02875866,0.01149958,0.03023046,0.01146239,0.03003247,0.01146224,1.002050619935866,0.9766582530953148,0.9945327272175087,1.0041214945961998
26,56,0.1503,90.0,0.03703,130272.0555,2605.44111,Altemus:1973,0.731192884,0.01258213,0.0089,0.15919999999999998,0.11326999999999998,0.12216999999999999,1.0,0.0,0.0,130272.0555,2605.44111,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.03659818240728232,4.433234524286382,1.1219362118521883,0.034048962,0.038898928,0.0402701489,0.20067423576533186,0.9157957589090001,0.9109457929090001,0.3256796729839487,0.00018679513602711927,697406036.7454475,13948120.73490895,0.0011792636416784275,0.00111333747075545,332.0772432246044,295.9858499231279,43260385.059642665,865207.7011928533,111.10095559729658,2.2220191119459316,38558685.06840039,771173.7013680078,99.02608938335418,1.9805217876670835,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.0006,0.0,60,0.0363,0.014,0.9346585225290001,-2,0.913658522529,0.005,0.0,7,0.0375,0.008,0.934183522529,-3,0.914183522529,0.03668991557509571,0.03788340865012856,0.32613825962541226,0.32554651753908964,0.03931767228007044,0.03934212110974099,0.3250574679748385,0.3249506755686408,0.02733392,0.01313222,0.02722063,0.01300233,0.0270085,0.01347075,0.02751021,0.01262228,0.02699961,0.01340648,0.02722498,0.01301486,0.02698271,0.01342052,0.02751021,0.01262228,1.0065718205753593,1.0179938605442462,1.00832689186101,1.015802774214113
26,56,0.1503,90.0,0.04315,118042.4638,2360.849275,Altemus:1973,0.789097389,0.014503255,0.0089,0.15919999999999998,0.10715,0.11605,1.0,0.0,0.0,118042.4638,2360.849275,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.04271818240728232,4.433234524286382,1.1219362118521883,0.03220929,0.03695032,0.038812242500000003,0.19700822952354047,0.9291198924290001,0.924378862429,0.32249952334634135,0.00026756229629383034,441177495.61533386,8823549.90856923,0.001179263641678428,0.0011133374707554505,338.52239013991596,301.73051423400824,39960016.98358051,799200.3393330878,102.62497817435438,2.0524995626176974,35617013.3038233,712340.2657747356,91.47131279855232,1.829426255196145,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.0006,0.0,71,0.042899999999999994,0.014,0.9346585225290001,-1,0.927658522529,0.005,0.0,8,0.0425,0.008,0.934183522529,-2,0.922183522529,0.043284860052111185,0.04288340865012857,0.32327666304029307,0.3234205645204506,0.046452099979176875,0.043605272665844595,0.3217245195417979,0.32309436622361226,0.02478713,0.01434329,0.02447676,0.01369663,0.02405766,0.01440297,0.02506092,0.01363193,0.02495395,0.0143034,0.02449336,0.01371906,0.02524854,0.01423191,0.02506092,0.01363193,1.0286502659399526,1.0058817059917269,1.029583655691583,1.0242967985833908
26,56,0.1503,90.0,0.04927,100799.2927,2015.985854,Altemus:1973,0.88445065,0.017867189,0.0089,0.15919999999999998,0.10102999999999998,0.10992999999999999,1.0,0.0,0.0,100799.2927,2015.985854,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.04883818240728232,4.433234524286382,1.1219362118521883,0.030369617999999998,0.035001712,0.0374292449,0.1934663921718705,0.942444025949,0.937811931949,0.3186022911529005,0.0003472089886194627,290313027.611376,5806260.552227519,0.0011792636416784277,0.0011133374707554503,346.61688001359386,308.9452647591872,34938736.34325103,698774.7268650206,89.72936763612913,1.7945873527225826,31141464.170740306,622829.2834148061,79.97724530880076,1.5995449061760152,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.0006,0.0,81,0.0489,0.014,0.9346585225290001,0,0.9416585225290001,0.005,0.0,9,0.0475,0.008,0.934183522529,0,0.9381835225290001,0.04927954127236944,0.047883408650128564,0.32023970129136553,0.3210642853455248,0.053535208540844814,0.05213157577805182,0.3178257054539134,0.3188892389155274,0.02249333,0.01415833,0.0215824,0.01290008,0.02147461,0.01373491,0.02203659,0.01306937,0.02304965,0.01439072,0.02161084,0.01293366,0.022099,0.01415372,0.02203659,0.01306937,1.068464983555753,1.0133100724834248,1.087505124343139,1.0425453121491302
26,56,0.1503,90.0,0.05542,81621.32732,1632.426546,Altemus:1973,0.916953969,0.022837168,0.0089,0.15919999999999998,0.09487999999999999,0.10378,1.0,0.0,0.0,81621.32732,1632.426546,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.054988182407282316,4.433234524286382,1.1219362118521883,0.028520928,0.033043552000000004,0.0361149284,0.1900392812025977,0.955833473849,0.951310849849,0.3138831769262515,0.000425834743850916,191673714.97656724,3833474.2985920133,0.0011792636416784277,0.0011133374707554503,356.7182772183757,317.9488044418093,29115819.265867542,582316.3851746635,74.77500116969097,1.495500023027371,25951403.43834758,519028.06863977213,66.64817516340433,1.3329635029414655,"[0.186,0.223]",0.205,"[0.025,0.035]",0.026,0.0006,0.0,91,0.0549,0.014,0.9346585225290001,1,0.9556585225290001,0.005,0.0,10,0.0525,0.01,0.9481835225290001,0,0.9531835225290001,0.05527353430929338,0.05274921562258356,0.3167768511468152,0.3111351953775325,0.06056808972799077,0.05266446972256477,0.3133534940367075,0.3112017324192372,0.02036337,0.01310428,0.01876532,0.0111091,0.01897207,0.01212971,0.01918051,0.01138018,0.01685588,0.008985844,0.01880341,0.01115123,0.01723868,0.009220405,0.01918051,0.01138018,1.1300480850154229,1.0286332885927207,0.851805368063515,0.8551632911186017
