qvcenter,Q2center,nu,RL,RLerr,RT,RTerr,Chi2,num_points,Chi2/DOF,Ex,W2
0.205,,0.015100632142722503,224.94432593245133,12.667988548662198,19.17085244163018,1.5855166917587702,0.020006041824631178,4.0,0.010003020912315589,0.014699999137831491,0.8668962824650073
0.205,,0.05352893041711265,153.71056239579724,16.02443478521323,43.893700035891996,4.723377218443538,0.7582851119357188,3.0,0.7582851119357188,0.053153576668875185,0.9416460691791112
0.205,,0.060561943289005105,146.29590738893808,11.889016404686734,38.42043193013198,5.028460485632481,1.0207614577650108,3.0,1.0207614577650108,0.060194280743051096,0.9556462439351501
0.205,,0.0675457778394043,117.67846275504179,16.142405464257475,39.06010219549636,5.157002927506335,0.020006041824630803,4.0,0.010003020912315402,0.06718669102471975,0.969646413854353
0.205,,0.07448145155022134,107.00255339031789,10.461520179006929,33.38632098962047,4.081274528947525,0.020006041824631268,4.0,0.010003020912315634,0.07413180669614272,0.9836465791347896
0.205,,0.10176170974354759,36.097200693075045,7.395142065862442,21.203280707917003,1.8042477519393743,0.020006041824631057,4.0,0.010003020912315528,0.10145815021569243,1.0396471974713453
0.205,,0.11513693124030722,23.085285525241957,10.005707081454112,21.976558341047475,3.123433817531644,0.02000604182463115,4.0,0.010003020912315575,0.11486117907051557,1.0676474832357088
0.24,,0.04463301282977028,94.39824727752266,23.669877965613374,79.63302601319253,21.048586401216777,0.020006041824631435,4.0,0.010003020912315717,0.04409999913880584,0.9085042300569166
0.24,,0.05453260936236065,147.04131947418577,8.654562993163706,60.522531949374304,3.3481337269141003,0.16617687941532314,4.0,0.08308843970766157,0.05400900547483339,0.9280629779813683
0.24,,0.0635569987727459,131.75716402388736,8.274238605406545,58.12815106380058,1.9528945280158208,3.801804925883601,6.0,0.9504512314709003,0.06304360972182531,0.9460633464410001
0.24,,0.0725008134304993,125.15308988895491,5.992393032324467,54.49510126995223,1.6611918758237032,7.8345944563390555,9.0,1.119227779477008,0.07199908839780302,0.9640637019168339
0.24,,0.08136617396463597,103.3375868039357,6.622500786183299,47.784642110131834,1.9046433028511836,2.035418052339441,6.0,0.5088545130848603,0.08087752399428154,0.9820640450832853
0.24,,0.09015510957735673,79.3945230567881,6.125107884326601,42.84476603616753,1.4518298734801396,11.503639079773741,5.0,3.8345463599245804,0.08968090922002471,1.0000643765688557
0.24,,0.09886956346944675,58.6817957651029,5.885571110823878,39.353546453798714,1.5682093564953277,6.262429781614561,5.0,2.08747659387152,0.09841115232889343,1.0180646969599756
0.24,,0.10751139785859531,58.501119124390286,8.809425853818697,31.999883436858465,1.7405855991351602,3.3017263169718563,4.0,1.6508631584859281,0.1070700820479336,1.0360650068044648
0.24,,0.11608239862736047,33.49462331316902,5.646631945925273,36.068024648228814,2.047633250426427,5.258787843839377,4.0,2.6293939219196885,0.11565945214176737,1.0540653066146601
0.24,,0.12458427963364971,23.68737683697891,6.128669762864076,36.7917939414371,1.8602913285397067,7.304554160070213,4.0,3.6522770800351063,0.12418094564556785,1.0720655968702422
0.24,,0.13301868671319217,23.413035943740685,6.143026208208946,24.6206948592491,1.5235824539706693,0.020006041824630824,4.0,0.010003020912315412,0.13263617879556297,1.0900658780207964
0.24,,0.1413872014004851,10.534608159919026,7.765012694850498,28.71967151836217,1.4519987904200087,97.89012349714362,3.0,97.89012349714362,0.14102670468307527,1.1080661504881362
0.3,,0.0063622790709843,90.64413356508281,5.040677252638793,4.341321715545503,0.4354088389510546,0.020006041824630928,4.0,0.010003020912315464,0.0054999976042815115,0.8023358104655164
0.3,,0.01536040551225426,96.55801994422394,4.125095342072683,17.237216761467874,0.8198624591959517,1.506140046798607,4.0,0.7530700233993035,0.014499997605109364,0.8194166721088997
0.3,,0.025356504231911714,112.04064550183871,5.219017006830718,30.369227326934777,0.9028312478441015,19.76024578947309,6.0,4.940061447368272,0.024499997606024226,0.83858182142624
0.3,,0.035350688701111466,85.35309758273294,5.264315722392999,47.80571404552888,1.609840838358974,19.181409395978932,5.0,6.393803131992978,0.0344999976069395,0.8579430871999588
0.3,,0.040347063435369535,82.55548820328353,4.980833176891731,61.84327220595245,3.9847410378566215,0.020006041824630942,4.0,0.010003020912315471,0.03949999760740026,0.8676972285582468
0.3,,0.044343818947854885,90.50170388430924,7.062574155884825,54.10426584270725,2.8662848435839337,0.020006041824631456,4.0,0.010003020912315728,0.043499997607763435,0.8755358128792015
0.3,,0.05033837858976753,87.19026457909244,5.396010308587357,69.31517817977605,4.475948310062421,0.02000604182463141,4.0,0.010003020912315705,0.04949999760831506,0.8873524578771607
0.3,,0.057556915234053874,105.41305964225083,4.5358683612441295,65.33945918766871,2.58923428798788,12.227146138519446,5.0,4.075715379506482,0.05672599966120665,0.9016772200750629
0.3,,0.0675487260876746,94.39452449071014,4.161795381149385,74.07312889612437,1.8046882624640563,20.01319088642524,8.0,3.3355318144042063,0.06672979234095837,0.9216773446699892
0.3,,0.0774422477117227,94.40939755465712,5.196092823165386,76.43406975739562,2.81436145166111,5.086437638597692,3.0,5.086437638597692,0.07663706368295743,0.9416774644340863
0.3,,0.08235304444112124,94.96831782934015,4.336926546540072,74.53651148158713,2.211247190955682,15.130766196274115,7.0,3.026153239254823,0.08155538214432323,0.9516775225915296
0.3,,0.09210442386935569,89.43740677957427,4.275848465427258,74.63259606773141,2.081721254357846,13.060819688287468,7.0,2.6121639376574937,0.09132306795172217,0.9716776356196499
0.3,,0.10176437647643732,60.010767942248734,14.685611136133025,88.37170051771281,21.037896996159603,0.020006041824631466,4.0,0.010003020912315733,0.10100097140120755,0.9916777444679906
0.3,,0.10656086114565333,92.76558580581515,12.205498974267364,61.271634781065856,2.2773612694861223,0.5083650585940609,4.0,0.25418252929703045,0.10580703389463914,1.0016777973965345
0.3,,0.11133542668311136,62.166993422297644,3.806303010583993,64.22062006642176,2.2561904210474544,0.02947389789071404,5.0,0.009824632630238013,0.1105915715087002,1.0116778493641965
0.3,,0.1208199848316791,52.07131091814741,3.6347919206491723,55.65693625655708,2.1009690816103417,1.812378135039025,5.0,0.6041260450130083,0.12009723526346172,1.0316779505196754
0.3,,0.12553055317916673,50.49164008234084,7.131642446637087,56.32270597347808,3.128178302071389,0.020006041824631494,4.0,0.010003020912315747,0.12481892678518362,1.0416779997566203
